,rating,comment,date,word_count,text_length_category,rating_length_category
2,10,감사 일용할 양식,2024-11-08,3,middle,10-middle
4,10,진짜 가격 애용,2025-01-16,3,middle,10-middle
5,10,구매 라면,2024-07-17,2,middle,10-middle
7,10,새벽 이용 오전 수 포장,2025-01-18,5,long,10-long
8,10,감사 감사 감사,2025-01-16,3,middle,10-middle
9,10,마트 엄두 방학 장,2025-01-12,4,middle,10-middle
13,10,할인 쿠폰 적용 구입,2024-12-25,4,middle,10-middle
15,10,할인 중 구입,2024-12-19,3,middle,10-middle
16,10,신라면,2024-12-04,1,short,10-short
17,10,거,2024-12-01,1,short,10-short
18,10,유일 라면 집 쟁겨,2024-11-15,4,middle,10-middle
24,10,신라면 구매,2024-05-30,2,middle,10-middle
25,10,구비 비상식량,2024-04-24,2,middle,10-middle
28,10,주문,2025-01-23,1,short,10-short
31,10,라면 신라면 개 세일,2025-01-22,4,middle,10-middle
33,10,구매 제품,2025-01-22,2,middle,10-middle
34,10,구매 상품 신라면,2025-01-22,3,middle,10-middle
35,10,말 맛 기준 신라면,2025-01-22,4,middle,10-middle
37,10,하루,2025-01-21,1,short,10-short
38,10,끼니 해결 수,2025-01-21,3,middle,10-middle
40,10,안전,2025-01-21,1,short,10-short
41,10,제품,2025-01-21,1,short,10-short
42,10,오랜만 구매 상품 마음,2025-01-21,4,middle,10-middle
44,10,주문 상품,2025-01-21,2,middle,10-middle
45,10,데 건면,2025-01-21,2,middle,10-middle
46,10,때 신라면 쵝오죵,2025-01-21,3,middle,10-middle
47,10,구매 제품,2025-01-21,2,middle,10-middle
48,10,구매 신라면,2025-01-20,2,middle,10-middle
49,10,신라면 최고,2025-01-20,2,middle,10-middle
50,10,밀 필요 세일 듯,2025-01-20,4,middle,10-middle
51,10,라면 농심 신라면,2025-01-20,3,middle,10-middle
53,10,라면 중 신라면 사랑,2025-01-20,4,middle,10-middle
54,10,유통 기한 월,2025-01-20,3,middle,10-middle
55,10,집 신라면 봉지 비상,2025-01-20,4,middle,10-middle
56,10,라면 신라면,2025-01-20,2,middle,10-middle
57,10,신라면,2025-01-20,1,short,10-short
58,10,라면 신라면,2025-01-20,2,middle,10-middle
59,10,라면,2025-01-19,1,short,10-short
60,10,라면 신라,2025-01-19,2,middle,10-middle
61,10,주문 때 주문,2025-01-19,3,middle,10-middle
62,10,구매 품목,2025-01-19,2,middle,10-middle
63,10,제품 주문 만족,2025-01-19,3,middle,10-middle
66,10,할인 구매,2025-01-19,2,middle,10-middle
67,10,컵라면,2025-01-19,1,short,10-short
68,10,상품,2025-01-19,1,short,10-short
69,10,행사 구매,2025-01-19,2,middle,10-middle
70,10,신라면,2025-01-18,1,short,10-short
71,10,신라면,2025-01-18,1,short,10-short
72,10,거 때 신라면 최고,2025-01-18,4,middle,10-middle
74,10,신랑 최애,2025-01-18,2,middle,10-middle
76,10,요즘 라면 값 장난,2025-01-18,4,middle,10-middle
77,10,라면 신라면 남편 신라면,2025-01-18,4,middle,10-middle
78,10,라면 기본 베스트,2025-01-18,3,middle,10-middle
79,10,필수 구매 품목,2025-01-17,3,middle,10-middle
80,10,라면 남편 요즘 신라면,2025-01-17,4,middle,10-middle
81,10,필수품,2025-01-17,1,short,10-short
83,10,유통 기한 집,2025-01-16,3,middle,10-middle
85,10,겉 포장 비닐 것,2025-01-16,4,middle,10-middle
86,10,신라면 구매래,2025-01-16,2,middle,10-middle
88,10,라면 진리 신라면,2025-01-15,3,middle,10-middle
89,10,상품 구입,2025-01-15,2,middle,10-middle
90,10,라면 신라면,2025-01-15,2,middle,10-middle
92,10,신라면 기본 라면 아이,2025-01-15,4,middle,10-middle
93,10,라면,2025-01-15,1,short,10-short
94,10,라면 신라면 최고,2025-01-15,3,middle,10-middle
95,10,포장,2025-01-15,1,short,10-short
96,10,라면 신라면,2025-01-15,2,middle,10-middle
97,10,국물 면발 취향 만족,2025-01-15,4,middle,10-middle
98,10,라면 신라면 국물,2025-01-14,3,middle,10-middle
99,10,포장 상태,2025-01-14,2,middle,10-middle
100,10,가격,2025-01-14,1,short,10-short
101,10,라면 신라면,2025-01-14,2,middle,10-middle
102,10,주문 상품,2025-01-14,2,middle,10-middle
103,10,비상식량,2025-01-14,1,short,10-short
105,10,맛 보장 거 말 모,2025-01-13,5,long,10-long
107,10,신라면 안심,2025-01-13,2,middle,10-middle
109,10,신라면,2025-01-13,1,short,10-short
110,10,만족,2025-01-13,1,short,10-short
111,10,구매 제품,2025-01-13,2,middle,10-middle
112,10,주문,2025-01-13,1,short,10-short
113,10,제품,2025-01-13,1,short,10-short
114,10,감사,2025-01-12,1,short,10-short
115,10,라면 신라면 최고,2025-01-12,3,middle,10-middle
116,10,라면 중 신라면,2025-01-12,3,middle,10-middle
117,10,굿 굿,2025-01-12,2,middle,10-middle
118,10,구매 집 라면,2025-01-12,3,middle,10-middle
119,10,자주 구매 거,2025-01-12,3,middle,10-middle
121,10,가족 신라면,2025-01-11,2,middle,10-middle
122,10,거 구매,2025-01-11,2,middle,10-middle
123,10,감사 구매 만족,2025-01-11,3,middle,10-middle
124,10,상품 구매,2025-01-11,2,middle,10-middle
125,10,신라면,2025-01-11,1,short,10-short
126,10,유통 일 신라면 말 필요,2025-01-11,5,long,10-long
127,10,애용 제품 구입,2025-01-11,3,middle,10-middle
